&a / 	I1 / %
-0,810	0,4
-0,813	0,4
-0,815	0,4
-0,818	0,4
-0,821	0,4
-0,823	0,4
-0,826	0,4
-0,829	0,4
-0,831	0,4
-0,834	0,4
-0,837	0,4
-0,840	0,4
-0,842	0,4
-0,845	0,4
-0,848	0,4
-0,850	0,4
-0,853	0,4
-0,856	0,4
-0,858	0,4
-0,861	0,4
-0,864	0,4
-0,866	0,4
-0,869	0,4
-0,872	0,4
-0,874	0,4
-0,877	0,4
-0,880	0,4
-0,882	0,4
-0,885	0,4
-0,888	0,4
-0,890	0,4
-0,893	0,4
-0,896	0,4
-0,898	0,4
-0,901	0,4
-0,904	0,4
-0,906	0,4
-0,909	0,4
-0,912	0,4
-0,914	0,4
-0,917	0,4
-0,920	0,4
-0,922	0,4
-0,925	0,4
-0,928	0,4
-0,930	0,4
-0,933	0,4
-0,936	0,4
-0,938	0,4
-0,941	0,4
-0,944	0,4
-0,946	0,4
-0,949	0,4
-0,952	0,4
-0,954	0,4
-0,957	0,4
-0,960	0,4
-0,962	0,4
-0,965	0,4
-0,968	0,4
-0,970	0,4
-0,973	0,4
-0,976	0,4
-0,979	0,4
-0,981	0,4
-0,984	0,4
-0,987	0,4
-0,989	0,4
-0,992	0,4
-0,995	0,4
-0,997	0,4
-1,000	0,4
-1,003	0,4
-1,005	0,4
-1,008	0,4
-1,011	0,4
-1,013	0,4
-1,016	0,4
-1,019	0,4
-1,021	0,4
-1,024	0,4
-1,027	0,4
-1,029	0,4
-1,032	0,4
-1,035	0,4
-1,037	0,4
-1,040	0,4
-1,043	0,4
-1,045	0,4
-1,048	0,4
-1,051	0,4
-1,053	0,4
-1,056	0,4
-1,059	0,4
-1,061	0,4
-1,064	0,4
-1,067	0,4
-1,069	0,4
-1,072	0,4
-1,075	0,4
-1,077	0,4
-1,080	0,4
-1,083	0,4
-1,085	0,4
-1,088	0,4
-1,091	0,4
-1,093	0,4
-1,096	0,4
-1,099	0,5
-1,101	0,8
-1,104	1,1
-1,107	1,2
-1,109	1,4
-1,112	1,7
-1,115	1,9
-1,118	2,3
-1,120	2,7
-1,123	3,0
-1,126	3,3
-1,128	3,7
-1,131	4,1
-1,134	4,5
-1,136	4,9
-1,139	5,5
-1,142	6,2
-1,144	6,7
-1,147	7,3
-1,150	8,0
-1,152	8,7
-1,155	9,5
-1,158	10,4
-1,160	11,3
-1,163	12,4
-1,166	13,5
-1,168	14,9
-1,171	16,5
-1,174	18,2
-1,176	20,0
-1,179	22,1
-1,182	23,9
-1,184	25,8
-1,187	27,8
-1,190	30,0
-1,192	32,2
-1,195	34,5
-1,198	36,6
-1,200	38,7
-1,203	40,8
-1,206	42,8
-1,208	44,8
-1,211	46,5
-1,214	47,9
-1,216	49,1
-1,219	49,8
-1,222	50,5
-1,224	50,2
-1,227	49,5
-1,230	48,7
-1,232	47,8
-1,235	47,1
-1,238	45,8
-1,240	44,7
-1,243	42,7
-1,246	40,1
-1,248	37,3
-1,251	35,0
-1,254	33,1
-1,256	31,4
-1,259	28,6
-1,262	25,7
-1,265	23,2
-1,267	20,8
-1,270	18,7
-1,273	16,5
-1,275	14,7
-1,278	13,0
-1,281	11,1
-1,283	9,0
-1,286	7,5
-1,289	6,5
-1,291	6,0
-1,294	5,6
-1,297	5,1
-1,299	4,6
-1,302	4,1
-1,305	3,6
-1,307	3,2
-1,310	3,0
-1,313	2,9
-1,315	2,7
-1,318	2,6
-1,321	2,4
-1,323	2,4
-1,326	2,3
-1,329	2,2
-1,331	2,2
-1,334	2,1
-1,337	2,1
-1,339	2,1
-1,342	2,0
-1,345	2,0
-1,347	2,0
-1,350	2,0
-1,353	2,0
-1,355	2,0
-1,358	2,1
-1,361	2,2
-1,363	2,2
-1,366	2,3
-1,369	2,6
-1,371	2,6
-1,374	2,7
-1,377	2,8
-1,379	2,9
-1,382	2,9
-1,385	3,1
-1,387	3,2
-1,390	3,3
-1,393	3,4
-1,395	3,6
-1,398	3,6
-1,401	3,7
-1,403	3,8
-1,406	3,7
-1,409	3,5
-1,411	3,5
-1,414	3,4
-1,417	3,2
-1,419	3,0
-1,422	3,0
-1,425	2,9
-1,428	2,7
-1,430	2,5
-1,433	2,4
-1,436	2,2
-1,438	2,0
-1,441	1,9
-1,444	1,7
-1,446	1,5
-1,449	1,4
-1,452	1,3
-1,454	1,1
-1,457	0,9
-1,460	0,9
-1,462	0,8
-1,465	0,8
